Movie Title,Worldwide Box Office,International Box Office,Domestic Box Office,Total Expert Reviews,Avg Expert Score,Avg Positive Emotion
Joker,4116517.00,3947336.00,169181.00,2764,9.0944625407166124,2.0173842257597685
Captain Marvel,1129727388.00,702897549.00,426829839.00,2075,3.4149397590361446,4.1224819277108434
The Dark Knight,998615789.00,464894842.00,533720947.00,1462,8.7597535934291581,1.9073119015047880
The Dark Knight Rises,1082228107.00,634089008.00,448139099.00,1454,8.7935306262904336,1.9590990371389271
Avatar,2845899541.00,2085391916.00,760507625.00,1294,7.2891472868217054,2.0293740340030912
Inception,728582465.00,436006270.00,292576195.00,1124,8.3612099644128114,1.7578914590747331
Man of Steel,667999518.00,376954000.00,291045518.00,1065,7.3896713615023474,2.4211361502347418
Black Panther,1336494321.00,636434755.00,700059566.00,931,6.0000000000000000,3.1633941997851772
Wonder Woman 1984,166360232.00,119559196.00,46801036.00,876,3.9703196347031963,4.5919748858447489
Interstellar,651994868.00,463976974.00,188017894.00,859,7.9441210710128056,1.6669732246798603
The Avengers,1515100211.00,891742301.00,623357910.00,850,8.1696113074204947,1.7926000000000000
Suicide Squad,745744980.00,420644926.00,325100054.00,832,5.7512019230769231,3.4068028846153846
Warcraft,438899824.00,391534534.00,47365290.00,720,8.1250000000000000,2.0330416666666667
Watchmen,186976250.00,79466451.00,107509799.00,703,7.4679943100995733,2.4686628733997155
Justice League,655945209.00,426920914.00,229024295.00,673,6.1292719167904903,3.4582912332838039
The Matrix Resurrections,156467817.00,118781012.00,37686805.00,657,3.2983257229832572,3.9042009132420091
Prometheus,402448265.00,275971181.00,126477084.00,654,5.9342507645259939,2.5986085626911315
King Kong,550517357.00,332437332.00,218080025.00,653,6.3843797856049005,2.6415467075038285
No Country for Old Men,164035753.00,89762248.00,74273505.00,647,6.8763523956723338,2.8069551777434312
Brokeback Mountain,176980863.00,93937102.00,83043761.00,644,8.3819875776397516,2.2921428571428571
District 9,212453431.00,96807196.00,115646235.00,624,7.5874799357945425,2.6223237179487179
Guardians of the Galaxy,770882395.00,437168283.00,333714112.00,602,8.1860465116279070,1.8326578073089701
Wonder Woman,818058221.00,405494813.00,412563408.00,598,7.3193979933110368,2.1825083612040134
Black Widow,379751655.00,196100000.00,183651655.00,579,6.9861591695501730,2.7913126079447323
Transformers,708272592.00,389026399.00,319246193.00,577,6.8024263431542461,2.5505719237435009
There Will Be Blood,77208711.00,36986197.00,40222514.00,577,7.1646447140381282,2.7831542461005199
300,454161935.00,243546996.00,210614939.00,577,6.9601386481802426,3.0481629116117851
Venom,856081053.00,642569645.00,213511408.00,575,6.9200000000000000,2.6299478260869565
Blade Runner 2049,258829058.00,166774899.00,92054159.00,572,7.9208633093525180,1.3887587412587413
Iron Man 3,1215392272.00,806400000.00,408992272.00,570,5.8526315789473684,3.1660701754385965
Mortal Kombat,83508369.00,41182338.00,42326031.00,548,6.1222627737226277,3.1146715328467153
Mulan,69965374.00,69965374.00,n/a,548,2.7609489051094891,3.9136313868613139
Indiana Jones and the Kingdom of the Crystal Skull,786635413.00,469534294.00,317101119.00,547,4.9817184643510055,4.0818098720292505
The Hunger Games,677923379.00,269912687.00,408010692.00,533,6.8030018761726079,2.5376735459662289
Iron Man,585171547.00,266567421.00,318604126.00,533,8.3039399624765478,1.7882739212007505
Ghostbusters,229008658.00,100658084.00,128350574.00,527,3.3738140417457306,4.1876660341555977
Deadpool,784157111.00,421086402.00,363070709.00,525,7.7714285714285714,2.0975809523809524
Jurassic World,1669979967.00,1017673342.00,652306625.00,523,6.3346080305927342,2.3737093690248566
Godzilla,529076069.00,328400000.00,200676069.00,510,6.3901960784313725,2.5232941176470588
Inglourious Basterds,316915264.00,196140670.00,120774594.00,508,7.3484251968503937,2.9592125984251969
Cloverfield,171302226.00,91253793.00,80048433.00,507,5.8264299802761341,3.9314990138067061
House of Gucci,151331803.00,97522229.00,53809574.00,504,8.5178571428571429,1.5924801587301587
Dunkirk,518058826.00,327990546.00,190068280.00,482,7.0663900414937759,2.9904771784232365
The Departed,289660619.00,157276304.00,132384315.00,456,7.7653508771929825,2.0419298245614035
Skyfall,1110526981.00,806166704.00,304360277.00,439,6.6651480637813212,2.3858314350797267
Django Unchained,449841566.00,287036132.00,162805434.00,430,8.1744186046511628,2.3013953488372093
Aquaman,1143758700.00,808696893.00,335061807.00,430,6.8232558139534884,2.3856744186046512
Drive,81357930.00,46297241.00,35060689.00,425,7.4964705882352941,2.3402117647058824
Tenet,362450957.00,303946852.00,58504105.00,419,6.7279236276849642,2.4443914081145585
Logan,614202315.00,387925247.00,226277068.00,415,8.4771084337349398,2.3209397590361446
Batman Begins,358858124.00,153514350.00,205343774.00,412,8.5024271844660194,2.0973300970873786
Pacific Rim,411002906.00,309200000.00,101802906.00,410,7.3609756097560976,2.4148048780487805
Casino Royale,594420283.00,427055283.00,167365000.00,407,7.6044226044226044,1.9720147420147420
The Hurt Locker,49876984.00,32859173.00,17017811.00,406,6.3620689655172414,4.2115024630541872
The Social Network,224922135.00,127959441.00,96962694.00,403,8.3697270471464020,1.3870967741935484
Ratatouille,626549695.00,420104041.00,206445654.00,385,8.6441558441558442,1.4846233766233766
Toy Story 3,1068879522.00,653874642.00,415004880.00,383,9.2532637075718016,1.4373629242819843
The Lion King,1654367425.00,1110729382.00,543638043.00,383,6.3446475195822454,1.9527415143603133
Superman Returns,391081192.00,190961192.00,200120000.00,375,5.9840000000000000,2.7339733333333333
The Suicide Squad,167120232.00,111302807.00,55817425.00,373,7.0241286863270777,2.6076407506702413
Thor,449326618.00,268295994.00,181030624.00,373,6.8176943699731903,1.7387131367292225
Inside Out,852830107.00,496368396.00,356461711.00,373,8.5549597855227882,2.0623324396782842
Boyhood,57273049.00,31893074.00,25379975.00,373,6.3914209115281501,1.8903753351206434
The Wolf of Wall Street,389918903.00,272969720.00,116949183.00,370,7.3378378378378378,1.9815675675675676
Juno,231450102.00,87954837.00,143495265.00,369,6.9403794037940379,2.1718699186991870
V for Vendetta,130214162.00,59703127.00,70511035.00,367,7.8446866485013624,2.2684196185286104
Harry Potter and the Goblet of Fire,886746240.00,596544488.00,290201752.00,364,7.9313186813186813,1.7304120879120879
Bright,,,n/a,363,7.7630853994490358,2.0332231404958678
Up,731463377.00,438459213.00,293004164.00,362,8.7458563535911602,1.8286464088397790
Frozen,1265596785.00,864643776.00,400953009.00,356,6.9859550561797753,2.1361516853932584
The Martian,653609107.00,425175444.00,228433663.00,351,7.3846153846153846,1.8969800569800570
World War Z,531861650.00,329154939.00,202706711.00,342,6.3771929824561404,2.7326608187134503
Twilight,402280159.00,209510305.00,192769854.00,340,4.5176470588235294,3.9592058823529412
Ready Player One,579055653.00,441365481.00,137690172.00,334,6.8802395209580838,1.6669461077844311
A History of Violence,61477797.00,29984015.00,31493782.00,332,5.6566265060240964,4.5508132530120482
The Hateful Eight,152366784.00,98249368.00,54117416.00,330,6.3865030674846626,2.8825151515151515
Edge of Tomorrow,367028980.00,266822724.00,100206256.00,326,8.3773006134969325,1.4539877300613497
Silent Hill,94704227.00,47721595.00,46982632.00,326,7.3476923076923077,3.6037423312883436
Paranormal Activity,194183034.00,86264224.00,107918810.00,323,5.3622291021671827,6.6039628482972136
Get Out,252297405.00,76459470.00,175837935.00,323,7.2330097087378641,3.2191950464396285
A Quiet Place,334876670.00,146852309.00,188024361.00,321,6.5794392523364486,3.4461993769470405
Ad Astra,135432019.00,85243649.00,50188370.00,320,5.1352201257861635,2.6813125000000000
The Emoji Movie,216564840.00,130475327.00,86089513.00,316,2.7056962025316456,4.3268037974683544
It,701083042.00,372254168.00,328828874.00,315,7.5523809523809524,4.3053333333333333
La La Land,441890079.00,290788276.00,151101803.00,314,7.5445859872611465,1.4264012738853503
Sucker Punch,89758389.00,53365887.00,36392502.00,312,6.4519230769230769,3.5561538461538462
The Hangover,465487583.00,188165080.00,277322503.00,309,6.8770226537216828,2.6460194174757282
Arrival,202863303.00,102317164.00,100546139.00,304,6.8671096345514950,2.0288486842105263
Oblivion,287916633.00,198809398.00,89107235.00,304,6.6019736842105263,2.3059210526315789
Doctor Strange,676354481.00,443712561.00,232641920.00,300,7.5200000000000000,3.0235666666666667
Bohemian Rhapsody,886918326.00,670614987.00,216303339.00,298,7.6369863013698630,1.5136577181208054
Serenity,40319440.00,14804923.00,25514517.00,298,8.9597315436241611,1.9792281879194631
Harry Potter and the Order of the Phoenix,939619849.00,647482589.00,292137260.00,297,6.7508417508417508,2.7660606060606061
Us,256091919.00,81007339.00,175084580.00,297,5.7845117845117845,3.4798316498316498
Terminator Salvation,365491792.00,240169323.00,125322469.00,297,5.7070707070707071,3.4190572390572391
Deadpool 2,786362370.00,461770635.00,324591735.00,296,7.5912162162162162,2.0875337837837838
Iron Man 2,621156389.00,308723058.00,312433331.00,286,6.2167832167832168,2.8260489510489510
Dawn of the Planet of the Apes,710644566.00,502098977.00,208545589.00,282,7.9645390070921986,1.9526595744680851
Black Swan,331266710.00,224312032.00,106954678.00,280,7.6964285714285714,2.5536785714285714
Zootopia,1004629935.00,663361687.00,341268248.00,276,8.6811594202898551,1.2135144927536232
Looper,170466405.00,103980200.00,66486205.00,275,7.0472727272727273,1.8599272727272727
Knocked Up,219265952.00,70504187.00,148761765.00,274,6.1277372262773723,2.9028467153284672
Shutter Island,299461782.00,171448848.00,128012934.00,273,7.3809523809523810,2.5928205128205128
2012,757677748.00,591565581.00,166112167.00,273,5.3369963369963370,3.8243956043956044
Hereditary,81263489.00,37194033.00,44069456.00,273,6.4652014652014652,5.2760439560439560
The Simpsons Movie,527071022.00,343936008.00,183135014.00,272,6.9963235294117647,2.0748897058823529
Aladdin,1046649706.00,691090490.00,355559216.00,272,6.7830882352941176,1.9934191176470588
Little Miss Sunshine,100642353.00,40751255.00,59891098.00,271,7.2081784386617100,2.5440959409594096
Gone Girl,367160781.00,199393592.00,167767189.00,270,7.2014925373134328,2.3160740740740741
Her,48043998.00,22475747.00,25568251.00,269,7.7286245353159851,2.0401858736059480
Elysium,286192091.00,193141974.00,93050117.00,268,6.0849420849420849,2.2530223880597015
1917,370603379.00,211375735.00,159227644.00,267,8.2996254681647940,2.6907490636704120
The Irishman,910234.00,910234.00,n/a,267,7.3445692883895131,1.6408988764044944
Baby Driver,227250102.00,119424240.00,107825862.00,259,7.2200772200772201,1.7024324324324324
Noah,352831065.00,251631021.00,101200044.00,258,4.7198443579766537,2.6232558139534884
Army of the Dead,,,n/a,256,4.5351562500000000,3.9664062500000000
Fantastic Four,167849187.00,111731639.00,56117548.00,255,2.9725490196078431,4.6925098039215686
Ghost in the Shell,167910690.00,127347133.00,40563557.00,253,6.5992063492063492,2.1513833992094862
Zombieland,102236596.00,26646310.00,75590286.00,253,7.8498023715415020,2.6458893280632411
Knives Out,312952178.00,147588118.00,165364060.00,252,7.4642857142857143,1.9242063492063492
The Bourne Ultimatum,444043396.00,216572326.00,227471070.00,251,7.7250996015936255,1.9680079681274900
The Da Vinci Code,767820459.00,550284321.00,217536138.00,250,5.9360000000000000,3.5989600000000000
Rise of the Planet of the Apes,470986200.00,294226015.00,176760185.00,250,8.0280000000000000,1.5365200000000000
Zero Dark Thirty,134612435.00,38891719.00,95720716.00,249,6.3413654618473896,2.6861445783132530
The Shape of Water,195790794.00,131931359.00,63859435.00,249,6.2690763052208835,2.2593172690763052
Quantum of Solace,591692078.00,422323651.00,169368427.00,247,5.7530364372469636,3.7660728744939271
