Movie Title,Release Date,Release Year,Opening Weekend,Genre ID,Avg Expert Score
Free Fire,April 21st,2017,994430.00,17,65.5384615384615385
Dark Water,July 8th,2005,9939251.00,17,56.6285714285714286
High Life,April 5th,2018,99341.00,17,77.8809523809523810
Civil Brand,August 29th,2003,99296.00,17,38.1538461538461538
Coffee and Cigarettes,May 14th,2004,99162.00,17,68.0000000000000000
47 Ronin,December 25th,2013,9910310.00,17,33.9047619047619048
The Debt,August 31st,2011,9909499.00,17,67.5405405405405405
Crime and Punishment in Suburbia,September 15th,2000,9893.00,17,37.4285714285714286
Paris Can Wait,May 12th,2017,98850.00,4,53.2800000000000000
Paris Can Wait,May 12th,2017,98850.00,17,53.2800000000000000
Ghost World,July 20th,2001,98791.00,17,87.1612903225806452
Every Day,January 14th,2011,9857.00,17,50.9230769230769231
Beastly,March 4th,2011,9851102.00,4,43.3076923076923077
Beastly,March 4th,2011,9851102.00,17,43.3076923076923077
Valley of Love,March 25th,2015,9849.00,17,62.3076923076923077
The Sisterhood of the Traveling Pants,June 1st,2005,9833340.00,4,68.2058823529411765
Genius,June 10th,2016,98274.00,17,60.4782608695652174
3,September 16th,2011,9821.00,4,57.6428571428571429
3,September 16th,2011,9821.00,17,57.6428571428571429
Donnybrook,February 15th,2019,9802.00,17,56.5333333333333333
Little Children,October 6th,2006,97953.00,4,77.3529411764705882
Little Children,October 6th,2006,97953.00,17,77.3529411764705882
Draft Day,April 11th,2014,9783603.00,17,57.8181818181818182
Silent Night,November 30th,2012,9780.00,17,55.4545454545454545
A Kind of Murder,December 16th,2016,978.00,17,53.5714285714285714
Prince of Broadway,September 3rd,2010,9770.00,17,60.0000000000000000
"Definitely, Maybe",February 14th,2008,9764270.00,17,62.8181818181818182
"Definitely, Maybe",February 14th,2008,9764270.00,4,62.8181818181818182
The Climb,November 13th,2020,97639.00,17,83.5000000000000000
In the Cut,October 22nd,2003,97625.00,4,51.3947368421052632
First Reformed,May 18th,2018,97562.00,17,85.3958333333333333
Under the Tuscan Sun,September 26th,2003,9751425.00,4,57.1142857142857143
Under the Tuscan Sun,September 26th,2003,9751425.00,17,57.1142857142857143
Long Shot,May 3rd,2019,9740064.00,4,69.8888888888888889
Love and Other Drugs,November 24th,2010,9739161.00,4,58.6578947368421053
Last Chance Harvey,December 25th,2008,97260.00,17,61.4074074074074074
Last Chance Harvey,December 25th,2008,97260.00,4,61.4074074074074074
Becoming Jane,August 3rd,2007,972066.00,17,60.0588235294117647
Becoming Jane,August 3rd,2007,972066.00,4,60.0588235294117647
The Soloist,April 24th,2009,9716458.00,17,64.5151515151515152
Pig,July 16th,2021,970935.00,17,82.4102564102564103
Emerald Cowboy,September 19th,2003,9708.00,17,29.7777777777777778
A Good Woman,February 3rd,2005,97060.00,4,57.6551724137931034
A Good Woman,February 3rd,2005,97060.00,17,57.6551724137931034
My Cousin Rachel,June 9th,2017,969941.00,17,65.4117647058823529
My Cousin Rachel,June 9th,2017,969941.00,4,65.4117647058823529
Touching the Void,January 23rd,2003,96973.00,17,82.5294117647058824
Aloha,May 29th,2015,9670235.00,17,43.7777777777777778
Aloha,May 29th,2015,9670235.00,4,43.7777777777777778
Sweat,June 18th,2021,966.00,17,75.0714285714285714
Red Rocket,December 10th,2021,96593.00,17,77.0227272727272727
Miss Potter,December 29th,2006,9653.00,17,62.0344827586206897
The Mighty Macs,October 21st,2011,963221.00,17,52.1578947368421053
Manifesto,May 10th,2017,9628.00,17,72.8095238095238095
By the Sea,November 13th,2015,96250.00,4,49.0285714285714286
By the Sea,November 13th,2015,96250.00,17,49.0285714285714286
Cloud Atlas,October 26th,2012,9612247.00,17,58.8666666666666667
Game 6,March 10th,2006,9610.00,17,59.9500000000000000
Kites,May 21st,2010,959329.00,4,65.3076923076923077
Dot the I,March 11th,2005,9581.00,17,46.5000000000000000
Dot the I,March 11th,2005,9581.00,4,46.5000000000000000
My Son,September 20th,2013,9579.00,17,57.0000000000000000
ABCD,February 8th,2013,95236.00,17,57.8181818181818182
Brick Mansions,April 25th,2014,9516855.00,17,44.8214285714285714
Runoff,June 26th,2015,9515.00,17,68.3333333333333333
Good,December 31st,2008,9508.00,17,46.5625000000000000
Wild Mountain Thyme,December 11th,2020,94989.00,4,46.7931034482758621
Wild Mountain Thyme,December 11th,2020,94989.00,17,46.7931034482758621
